company_number,company_name,stratum,vat_number,status,reason,name_score,company_number_on_site,domain
05897097,2 DORIC WAY LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
07347959,20NEWCHURCHROAD LIMITED,all,,NOT_FOUND,no candidate extracted,,,
05449800,A & N ALEKSIEV LTD,trading,,NOT_FOUND,no candidate extracted,,,
04912017,A. BUCKLER DEMOLITION LIMITED,all,,NOT_FOUND,no candidate extracted,,,
13667337,A.YUSAF COMMERCE LIMITED,all,,NOT_FOUND,no candidate extracted,,,
16846905,ABAC REAL ESTATE LTD,all,,NOT_FOUND,no candidate extracted,,,
17142201,ABERSOCH APPAREL LIMITED,all,,NOT_FOUND,no candidate extracted,,,
13476101,ADS WDC LIMITED,all,,NOT_FOUND,no candidate extracted,,,
10832077,AERO SEKUR AIRBORNE LIMITED,all,,NOT_FOUND,no candidate extracted,,,
SC498637,AIGAS FIELD CENTRE LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
16647375,ALTO CONSTRUCTION LTD,all,,NOT_FOUND,no candidate extracted,,,
10716252,AMWELL PROPERTY LTD,trading,,NOT_FOUND,no candidate extracted,,,
SC243442,ANDREW SHEPHERD & SONS LIMITED,all,,NOT_FOUND,no candidate extracted,,,
04545537,APPLE BARN SERVICES LIMITED,all,,NOT_FOUND,no candidate extracted,,,
13685332,ARBOUR HOUSE FARM MEDICAL AND AGRICULTURAL LTD,trading,,NOT_FOUND,no candidate extracted,,,
15778924,ARG RAIL CONSULTANCY SERVICES LTD,all,,NOT_FOUND,no candidate extracted,,,
00839768,ARISTOMATICS PROPERTIES LIMITED,all,,NOT_FOUND,no candidate extracted,,,
14259239,ARTA SCRAP LTD,all,,NOT_FOUND,no candidate extracted,,,
SC656290,ASIAN ARTS GLOBAL LTD,all,,NOT_FOUND,no candidate extracted,,,
10979337,ASIF EYECARE LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
07901056,ASK EPM LTD,all,,NOT_FOUND,no candidate extracted,,,
14292776,ATALP CONSULTING LTD,trading,,NOT_FOUND,no candidate extracted,,,
12904875,AURAMAYA LTD,all,,NOT_FOUND,no candidate extracted,,,
11118002,AVIZA TRANSPORT LTD,trading,,NOT_FOUND,no candidate extracted,,,
09320539,BAINES ROOFING LIMITED,all,,NOT_FOUND,no candidate extracted,,,
13135539,BARKBY LTD,trading,,NOT_FOUND,no candidate extracted,,,
05237539,BEECHEY MANAGEMENT COMPANY LIMITED,all,,NOT_FOUND,no candidate extracted,,,
08878674,BESTBUY SHOPFITTERS LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
OC375744,BJF PROPERTIES LLP,all,,NOT_FOUND,no candidate extracted,,,
04969411,BLIKKBOKS  LTD,all,,NOT_FOUND,no candidate extracted,,,
13791445,BLUEBOND TAX SOLUTIONS LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
06710876,BREWERY SQUARE MANAGEMENT LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
15151787,BRIGHTSUITE LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
NI714110,BROTHERS FURNITURE & INTERIORS LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
10202440,BUSINESS MERIDIAN LTD,all,,NOT_FOUND,no candidate extracted,,,
03505291,CACTUSOFT LIMITED,all,,NOT_FOUND,no candidate extracted,,,
09282081,CATNAP CREATIONS LTD,all,,NOT_FOUND,no candidate extracted,,,
