CompanyName,CompanyNumber,RegAddress.AddressLine1,RegAddress.PostTown,RegAddress.PostCode,CompanyStatus,IncorporationDate,Accounts.AccountCategory,SICCode.SicText_1,PreviousName_1.CompanyName,stratum,postcode_company_count
2 DORIC WAY LIMITED,05897097,2 DORIC WAY,LONDON,NW1 1LX,Active,04/08/2006,MICRO ENTITY,98000 - Residents property management,,trading,1
20NEWCHURCHROAD LIMITED,07347959,99 PORTLAND ROAD,HOVE,BN3 5DP,Active,17/08/2010,MICRO ENTITY,98000 - Residents property management,,all,24
A & N ALEKSIEV LTD,05449800,45 EDISON COURT,LONDON,W3 7HJ,Active,11/05/2005,MICRO ENTITY,43390 - Other building completion and finishing,,trading,4
A. BUCKLER DEMOLITION LIMITED,04912017,MARSH ROAD GARAGE,MIDDLESBOROUGH,TS1 5LB,Active,25/09/2003,DORMANT,99999 - Dormant Company,,all,5
A.YUSAF COMMERCE LIMITED,13667337,68 ESMOND ROAD,MANCHESTER,M8 9LZ,Active,07/10/2021,DORMANT,96090 - Other service activities n.e.c.,,all,7
ABAC REAL ESTATE LTD,16846905,UNIT 2.02 HIGH WEALD HOUSE,BEXHILL,TN39 5ES,Active,11/11/2025,NO ACCOUNTS FILED,68209 - Other letting and operating of own or leased real estate,,all,910
ABERSOCH APPAREL LIMITED,17142201,CAER EGLWYS,PWLLHELI,LL53 7NH,Active,08/04/2026,NO ACCOUNTS FILED,47710 - Retail sale of clothing in specialised stores,,all,1
ADS WDC LIMITED,13476101,"MAGNOLIA HOUSE, SPRING VILLA PARK",EDGWARE,HA8 7EB,Active,24/06/2021,MICRO ENTITY,86230 - Dental practice activities,,all,824
AERO SEKUR AIRBORNE LIMITED,10832077,15 MARSHALL AVENUE,WORTHING,BN14 0ES,Active,22/06/2017,GROUP,70100 - Activities of head offices,,all,4
AIGAS FIELD CENTRE LIMITED,SC498637,HOUSE OF AIGAS,BEAULY,IV4 7AD,Active,23/02/2015,TOTAL EXEMPTION FULL,85590 - Other education n.e.c.,,trading,6
