company_number,company_name,stratum,candidates_tried,domain,matched_by,outcome
05897097,2 DORIC WAY LIMITED,trading,6,,,no_dns
07347959,20NEWCHURCHROAD LIMITED,all,3,,,no_dns
05449800,A & N ALEKSIEV LTD,trading,6,,,no_match
04912017,A. BUCKLER DEMOLITION LIMITED,all,6,abucklerdemolition.co.uk,company_name,found
13667337,A.YUSAF COMMERCE LIMITED,all,6,,,no_dns
16846905,ABAC REAL ESTATE LTD,all,6,,,no_dns
17142201,ABERSOCH APPAREL LIMITED,all,6,abersochapparel.com,company_name,found
13476101,ADS WDC LIMITED,all,6,,,no_dns
10832077,AERO SEKUR AIRBORNE LIMITED,all,6,,,no_match
SC498637,AIGAS FIELD CENTRE LIMITED,trading,6,,,no_dns
16647375,ALTO CONSTRUCTION LTD,all,6,,,no_match
10716252,AMWELL PROPERTY LTD,trading,6,,,no_http
SC243442,ANDREW SHEPHERD & SONS LIMITED,all,6,,,no_match
04545537,APPLE BARN SERVICES LIMITED,all,6,,,no_match
13685332,ARBOUR HOUSE FARM MEDICAL AND AGRICULTURAL LTD,trading,6,,,no_match
15778924,ARG RAIL CONSULTANCY SERVICES LTD,all,6,,,no_match
00839768,ARISTOMATICS PROPERTIES LIMITED,all,6,,,no_dns
14259239,ARTA SCRAP LTD,all,6,,,no_dns
SC656290,ASIAN ARTS GLOBAL LTD,all,6,asianartsglobal.com,company_name,found
10979337,ASIF EYECARE LIMITED,trading,6,,,no_dns
07901056,ASK EPM LTD,all,6,,,no_http
14292776,ATALP CONSULTING LTD,trading,6,,,no_dns
12904875,AURAMAYA LTD,all,3,,,no_http
11118002,AVIZA TRANSPORT LTD,trading,6,,,no_dns
09320539,BAINES ROOFING LIMITED,all,6,bainesroofing.co.uk,company_name,found
13135539,BARKBY LTD,trading,3,,,no_match
05237539,BEECHEY MANAGEMENT COMPANY LIMITED,all,6,,,no_dns
08878674,BESTBUY SHOPFITTERS LIMITED,trading,6,,,no_dns
OC375744,BJF PROPERTIES LLP,all,6,,,no_match
04969411,BLIKKBOKS  LTD,all,3,,,no_dns
13791445,BLUEBOND TAX SOLUTIONS LIMITED,trading,6,,,no_dns
06710876,BREWERY SQUARE MANAGEMENT LIMITED,trading,6,brewerysquare.com,company_name,found
15151787,BRIGHTSUITE LIMITED,trading,3,,,no_match
